,Brand,Model,Year,Engine_Size,Fuel_Type,Transmission,Mileage,Doors,Owner_Count,Price
35,7,21,2005,4.5,4,2,18590,2,5,9728
36,1,23,2013,3.5,3,3,263411,4,1,7231
37,7,27,2000,1.4,2,2,167050,5,4,4159
38,4,15,2017,2.2,3,2,277363,2,4,6852
39,1,4,2004,1.0,4,2,94415,2,1,4411
40,4,16,2004,1.2,2,2,93645,3,3,6627
41,2,2,2007,4.9,4,2,120491,2,1,8690
42,5,9,2000,3.9,3,2,56020,2,4,7879
43,9,24,2003,3.9,2,1,131868,5,3,9762
44,1,23,2023,3.6,2,2,238306,5,2,11833
45,4,16,2011,2.3,1,1,255372,5,5,6092
46,1,4,2009,2.4,1,2,263797,2,5,3924
47,6,12,2006,2.8,2,2,110280,3,3,8494
48,1,3,2009,1.2,2,1,111448,5,1,9271
49,8,17,2013,1.9,4,2,205005,2,2,5799
50,8,11,2004,4.9,4,3,175273,3,5,6694
51,8,17,2022,3.8,1,2,191466,3,2,10670
52,4,16,2008,1.8,2,3,280713,3,1,4685
53,5,9,2015,2.6,2,3,66777,5,1,11864
54,7,21,2020,3.2,2,2,88070,3,5,13538
55,2,1,2011,2.9,2,3,281020,3,5,6679
56,3,19,2017,1.8,1,3,22175,2,2,10556
57,10,22,2003,2.0,2,2,287728,3,3,3245
58,6,26,2007,3.6,2,1,102907,3,3,11241
59,5,9,2005,2.4,4,1,60316,2,5,8293
60,9,8,2008,1.3,4,1,188097,2,2,5538
61,4,15,2004,4.0,1,1,85348,3,3,9093
62,4,16,2015,4.8,2,1,100603,4,2,14887
63,8,6,2007,2.7,3,2,147310,5,2,6953
64,8,17,2011,4.0,1,2,140263,4,5,8594
65,10,22,2005,3.2,2,3,155550,5,4,7689
66,10,18,2000,4.0,3,2,237232,4,5,4355
67,4,15,2002,4.0,3,3,272351,3,3,4252
68,7,21,2008,4.6,4,2,164879,2,4,7802
69,6,29,2018,2.8,4,2,160349,4,3,9093
70,6,12,2007,1.5,1,2,30793,5,1,7084
71,2,1,2019,1.9,2,1,6745,2,1,15065
72,9,8,2007,4.9,3,2,23217,2,4,11635
73,7,27,2017,2.7,3,1,242456,2,5,9550
74,6,26,2017,1.3,3,1,152123,5,5,9957
75,5,7,2022,3.4,1,1,248894,5,2,10622
76,8,17,2007,2.3,2,2,76458,3,5,8970
77,2,30,2017,3.9,3,3,2020,3,2,14059
78,6,26,2018,2.0,3,1,121567,4,4,11568
79,10,18,2023,3.5,4,3,139477,2,5,11710
80,4,15,2007,4.5,2,2,53088,3,2,11638
81,10,28,2020,1.7,4,1,195565,2,5,9388
82,1,4,2004,4.8,3,3,141850,3,2,8263
83,5,9,2020,4.6,4,2,191397,3,4,10872
84,6,29,2015,1.6,2,2,259533,2,4,7009
85,8,6,2015,4.1,4,1,197249,3,1,10255
86,10,22,2007,3.8,2,2,272609,4,5,6547
87,4,16,2013,1.1,1,2,294516,4,1,3209
88,7,27,2001,2.9,1,2,258813,4,5,2123
89,9,10,2014,4.1,4,1,17100,5,5,13558
90,7,21,2017,4.6,1,2,197307,3,1,9853
91,2,30,2007,4.2,4,1,129851,3,4,9302
92,8,11,2011,1.8,1,3,261247,3,4,3975
93,1,23,2016,2.5,2,3,121855,5,5,10962
94,2,1,2011,2.6,4,2,107928,4,2,7841
95,10,22,2011,4.7,4,1,203960,5,3,9520
96,2,2,2009,3.0,2,2,17260,5,5,11454
97,1,3,2022,3.8,2,3,275109,2,5,10997
98,9,10,2016,2.8,3,3,203314,3,3,8633
99,9,10,2014,2.8,3,1,190214,5,2,9795
100,4,14,2013,5.0,2,1,188195,5,3,12736
101,1,4,2010,2.0,3,2,228204,3,4,5535
102,2,2,2001,2.3,1,3,66264,2,1,5374
103,9,8,2022,4.5,2,3,162696,4,2,13946
104,3,20,2005,2.2,1,2,191462,2,4,3970
105,5,5,2001,4.0,1,2,8958,5,1,8220
106,6,12,2012,2.6,3,2,11213,5,5,11075
107,5,5,2003,3.8,2,3,236022,3,2,6079
108,3,13,2019,3.9,3,3,13333,5,1,14433
109,8,6,2023,4.6,2,3,274137,2,3,12117
110,10,22,2010,3.4,1,2,8662,4,3,10326
111,2,1,2018,2.3,2,3,99243,3,3,11815
112,4,15,2013,3.5,3,3,167809,2,3,9143
113,5,7,2018,3.0,3,3,180938,4,3,9881
114,8,6,2018,4.0,4,2,66347,3,2,12173
115,5,9,2007,1.4,4,2,279031,5,3,2019
116,3,13,2013,2.8,4,2,63430,4,5,9531
117,2,1,2014,2.1,4,2,191744,5,1,6565
118,8,11,2023,3.9,3,3,58107,3,2,14737
119,2,30,2002,4.5,1,2,86763,2,5,7464
120,10,18,2020,3.8,1,1,257521,3,3,10249
121,9,10,2013,4.0,1,2,213052,4,4,7738
122,2,1,2017,1.9,4,3,117943,2,4,8741
123,10,28,2008,4.5,2,3,178837,3,4,9423
124,9,10,2002,3.9,1,3,281616,2,3,2967
125,3,20,2013,1.4,1,1,131485,3,5,8270
126,1,4,2013,3.9,2,2,21399,5,3,13472
127,8,6,2020,3.7,4,3,148489,3,5,10830
128,3,13,2017,3.1,2,2,189399,5,4,10512
129,10,28,2008,3.5,4,3,179107,2,3,6417
130,10,22,2015,4.7,1,2,220366,5,1,8892
131,7,21,2020,4.7,4,2,132200,2,1,12156
132,3,19,2009,1.8,1,1,151249,4,1,7075
133,3,19,2009,2.0,4,2,184695,5,1,5106
134,10,18,2001,4.1,4,1,32602,3,4,9347
135,1,3,2013,3.2,2,2,253611,2,4,8127
136,9,24,2020,4.3,3,2,187223,5,3,11655
137,8,11,2004,3.0,3,2,232438,3,3,4651
138,9,8,2019,4.7,4,2,114139,5,4,12217
139,9,24,2004,1.3,2,1,79437,4,4,8511
140,5,5,2019,2.2,1,2,127801,5,5,9443
141,9,8,2002,1.5,4,1,23115,2,1,7237
142,7,21,2010,3.9,4,1,26930,3,3,11961
143,9,24,2021,2.1,4,2,289967,4,3,6700
144,4,16,2001,3.2,4,2,42064,2,3,6758
145,6,26,2018,3.5,2,2,233614,4,2,10327
146,4,14,2023,4.1,2,1,67072,4,3,17258
147,2,30,2017,2.5,2,2,256380,2,1,8572
148,8,6,2010,1.9,4,3,159546,2,4,5809
149,8,11,2014,3.8,2,3,5877,5,5,13982
150,6,29,2002,4.9,3,1,33244,2,2,11435
151,3,19,2013,4.8,4,2,206381,4,4,8672
152,5,9,2016,4.0,1,1,175833,3,5,10883
153,6,29,2005,3.6,4,3,157073,2,1,6058
154,2,1,2015,2.9,2,1,131766,2,3,12364
155,4,14,2001,2.2,4,2,18630,3,5,6227
156,1,4,2015,2.1,1,1,54522,3,5,11109
157,8,17,2013,1.4,2,3,231290,3,3,6774
158,7,21,2000,3.7,2,2,166776,2,2,6464
159,1,3,2002,4.0,1,2,16302,5,2,8373
160,1,23,2015,2.9,3,3,252824,3,1,7443
161,7,27,2007,1.2,3,1,269614,3,4,4507
162,7,27,2000,2.8,2,3,264697,2,5,3606
163,5,7,2014,4.0,4,2,287926,5,2,6541
164,1,3,2001,1.8,4,1,43196,5,2,6836
165,9,24,2001,4.5,1,3,279971,3,1,3300
166,6,26,2009,1.0,4,2,286745,2,5,2065
167,8,6,2011,2.3,2,3,885,3,2,11682
168,5,9,2013,3.5,3,3,93273,2,4,10634
169,2,30,2004,3.7,1,3,110947,3,2,6781
170,5,7,2018,1.2,4,2,166808,5,2,7363
171,1,23,2022,3.8,1,1,186035,4,3,12279
172,4,15,2005,1.0,3,3,68819,2,3,6223
173,3,19,2018,3.7,4,3,157181,5,2,10056
174,8,6,2007,3.9,4,3,97350,3,3,8153
175,10,22,2016,3.5,1,2,271497,5,4,6970
176,9,24,2013,4.3,2,3,225452,4,5,9790
177,7,21,2010,3.8,4,1,51040,5,2,11379
178,10,18,2012,4.2,2,3,7544,2,5,13749
179,3,13,2009,2.6,3,3,264411,3,1,5111
180,2,30,2012,4.3,4,2,153919,5,2,8921
181,5,7,2010,1.7,4,2,115344,2,5,6493
182,7,25,2009,2.9,1,3,106781,3,2,7564
183,6,26,2011,1.0,4,2,279545,2,3,2809
184,6,26,2020,1.7,4,2,11757,3,1,11564
185,1,23,2014,2.4,4,3,230787,3,1,6084
186,6,12,2020,3.7,3,1,216478,2,1,11970
187,8,6,2003,2.6,1,3,134567,5,2,4908
188,8,6,2006,4.5,2,2,162852,2,3,9142
189,2,1,2023,3.9,3,3,112480,2,2,13650
190,7,21,2017,1.9,2,1,60780,2,1,13384
191,5,7,2012,3.2,1,1,21520,4,4,11969
192,2,2,2017,2.1,1,1,199006,3,3,8819
193,3,13,2006,2.0,3,1,11585,5,4,10168
194,3,13,2009,2.8,2,2,79962,3,2,10000
195,10,18,2014,3.9,2,1,95537,4,2,13789
196,8,17,2021,4.3,1,2,229873,4,2,10102
197,9,24,2006,1.3,3,2,195129,4,5,4297
198,3,19,2011,4.0,3,1,136926,5,1,11161
199,4,16,2003,3.2,4,3,85005,3,1,6499
200,1,4,2017,2.7,2,1,172248,3,2,11955
201,10,18,2017,4.3,4,1,179528,2,5,11409
202,6,26,2014,2.3,2,2,1752,4,2,12564
203,8,17,2008,3.2,2,2,25557,5,4,11188
204,2,2,2007,3.9,3,1,211162,5,5,8376
205,1,3,2014,4.0,4,1,182364,5,5,10152
206,6,26,2010,1.6,4,1,112946,2,5,7941
207,4,16,2009,2.1,4,1,122067,4,4,7958
208,9,24,2008,3.5,2,3,296747,3,1,6065
209,2,2,2018,2.8,4,3,23722,5,5,11825
210,6,12,2000,1.8,4,2,161487,3,5,2670
211,4,16,2009,4.1,4,1,99562,5,2,10408
212,7,21,2018,1.9,2,2,107386,5,4,11252
213,10,18,2021,4.0,1,1,32991,5,3,15240
214,1,3,2017,1.7,1,2,156940,4,2,7761
215,9,8,2007,2.2,1,2,87444,4,4,6651
216,2,2,2009,1.4,4,2,232049,3,2,3559
217,4,16,2009,1.2,3,1,114668,2,4,8206
218,9,8,2017,4.8,2,3,297176,4,2,10056
219,6,26,2011,4.1,3,3,138965,4,4,9720
220,10,28,2006,4.4,4,1,251894,2,4,6762
221,9,10,2006,2.8,1,3,174551,4,5,5208
222,2,2,2011,3.0,4,1,260151,5,1,6696
223,3,20,2006,2.8,4,2,253372,2,4,3632
224,8,17,2010,1.9,3,2,99563,3,5,8008
225,4,15,2014,3.9,2,1,267949,3,2,10341
226,2,30,2010,4.6,1,2,79663,5,5,10106
227,9,24,2013,3.5,2,1,85640,3,4,13287
228,8,11,2001,4.4,3,1,1937,4,4,11261
229,4,15,2014,3.2,4,1,253316,3,5,7933
230,8,11,2007,3.2,1,3,203452,2,4,5330
231,6,12,2022,4.2,2,2,181600,3,3,13268
232,2,30,2002,2.9,4,2,296864,4,2,2000
233,7,27,2014,1.4,3,3,262641,4,1,5447
234,1,23,2023,4.7,2,1,222000,3,3,14760
235,4,16,2006,4.6,4,1,98002,5,4,10039
236,7,27,2000,3.4,3,2,131933,4,1,5861
237,2,30,2001,4.6,1,2,287045,4,4,3259
238,3,20,2008,2.5,4,3,215987,5,3,4680
239,5,7,2009,2.8,1,2,201403,3,5,5571
240,2,1,2021,3.9,4,2,263073,4,3,9038
241,1,3,2021,4.4,1,3,91956,2,2,12960
242,7,27,2021,1.3,3,2,197902,5,5,8741
243,9,24,2006,1.0,1,1,107474,4,5,6250
244,2,2,2011,1.1,1,1,178039,3,1,6439
245,2,2,2009,4.0,2,1,84645,2,2,12607
246,7,21,2020,4.1,3,3,118504,2,4,12829
247,5,5,2009,2.7,4,2,217224,4,5,5155
248,9,8,2002,2.6,4,1,118041,3,4,6439
249,1,4,2020,4.3,1,3,186962,3,5,10660
250,8,17,2023,1.3,2,3,78961,5,2,12720
251,8,17,2010,1.0,3,2,296156,5,1,3176
252,9,24,2019,2.0,4,1,232074,3,5,8658
253,4,14,2001,2.3,2,2,38542,5,2,7929
254,2,30,2010,2.9,1,1,295058,5,1,5598
255,9,8,2013,2.2,3,2,262285,4,4,5954
256,4,14,2008,3.9,2,3,225838,5,3,7883
257,3,13,2023,3.0,3,1,230795,5,4,11884
258,3,20,2008,2.5,4,2,94729,5,3,7105
259,8,6,2022,3.1,4,1,282199,2,2,9656
260,1,3,2006,2.6,1,1,282423,5,5,4351
261,8,6,2004,4.0,1,2,191859,3,5,5462
262,4,15,2004,2.2,3,1,256459,4,5,4870
263,7,27,2021,2.1,2,3,74107,5,4,13017
264,10,18,2019,3.9,4,2,230974,5,3,9080
265,2,2,2016,1.7,4,2,56150,3,1,9477
266,8,6,2010,4.7,1,3,256100,3,2,6678
267,10,18,2006,2.7,3,1,9512,2,1,10909
268,1,3,2011,4.8,4,1,80241,2,3,12095
269,1,4,2021,4.7,1,3,150713,2,4,12085
270,1,23,2018,1.7,2,3,207019,2,3,9059
271,1,3,2023,3.2,4,3,163039,3,3,10939
272,9,10,2000,2.0,1,2,145101,3,5,3197
273,4,16,2016,1.4,4,3,278559,5,4,4728
274,6,12,2017,4.2,1,1,269154,3,2,9516
275,7,27,2010,2.3,4,2,62065,2,2,8158
276,1,23,2023,1.9,1,2,52679,5,3,11846
277,9,8,2014,1.0,4,2,177766,3,2,5744
278,5,9,2007,1.6,2,2,158154,3,4,6636
279,3,19,2021,1.3,2,1,52051,5,1,14158
280,9,8,2023,1.5,1,2,117049,2,5,10159
281,9,8,2000,1.8,2,1,271405,4,4,3971
282,6,26,2010,2.6,3,3,260006,3,3,5499
283,9,24,2012,1.7,4,2,234785,3,1,4704
284,7,21,2009,1.6,2,1,222076,5,4,7458
285,10,22,2002,1.8,4,2,194835,3,3,2603
286,4,16,2013,2.0,1,1,145970,2,2,8580
287,4,15,2011,1.4,3,1,30785,4,3,10684
288,1,23,2015,3.7,1,3,57196,3,1,11156
289,7,27,2019,4.0,1,3,50680,3,4,12786
290,9,24,2001,4.7,1,3,230052,2,3,4498
291,5,9,2019,4.2,4,2,273193,2,4,8536
292,6,12,2003,4.4,3,3,169451,2,2,7010
293,2,30,2020,2.2,2,1,286174,4,5,10076
294,3,20,2004,4.9,1,2,242712,5,4,5345
295,6,12,2014,3.4,2,2,227371,4,5,9152
296,7,21,2002,1.7,1,2,79442,4,2,4811
297,9,10,2005,3.2,4,1,29885,2,2,9702
298,10,28,2008,4.3,1,3,261478,4,5,5570
299,7,21,2010,1.2,4,1,170847,4,4,6383
300,2,30,2001,4.1,2,3,87221,5,4,8755
301,8,6,2014,2.9,4,2,217980,4,4,6840
302,10,22,2010,4.1,2,1,71288,5,2,13274
303,2,2,2016,4.5,1,2,91092,2,1,11578
304,5,9,2020,4.4,4,3,24913,3,3,14001
305,7,27,2000,4.2,3,3,155444,3,5,6191
306,8,11,2014,2.5,2,3,171683,3,2,9366
307,5,7,2015,4.8,1,1,295428,3,5,8991
308,10,18,2010,3.9,4,1,207380,2,5,8352
309,8,6,2012,1.5,2,1,89226,5,5,10915
310,2,1,2001,4.6,3,2,79217,4,4,8415
311,8,11,2010,3.3,1,1,297971,2,3,5940
312,4,15,2011,3.5,1,3,178950,2,3,7321
313,1,3,2017,3.4,2,1,148880,3,5,13122
314,5,5,2013,1.7,4,3,23936,4,4,9221
315,1,23,2002,2.1,2,2,68076,4,1,7438
316,3,20,2015,2.9,1,1,144743,2,3,10105
317,7,25,2014,4.4,1,3,90279,3,5,10894
318,1,3,2018,2.5,1,3,56429,2,1,10871
319,1,3,2014,2.9,1,1,1197,2,5,12676
320,8,6,2021,1.9,4,1,200177,2,2,9796
321,3,20,2022,3.0,1,2,5679,2,4,13586
322,2,1,2011,3.3,3,2,14586,4,1,11408
323,7,27,2001,3.6,3,3,202216,3,3,4955
324,2,2,2002,4.8,4,2,249673,5,1,4506
325,3,19,2011,1.7,1,2,39156,3,1,8316
326,10,18,2010,4.5,2,3,68014,3,2,12239
327,4,16,2008,2.4,4,2,126868,5,3,6362
328,8,11,2010,3.0,2,2,258632,4,5,6927
329,4,15,2021,4.3,3,3,201170,3,5,11676
330,1,3,2019,2.9,3,2,13569,2,3,13428
331,2,1,2020,2.1,1,3,191301,3,1,8373
332,7,27,2002,4.4,4,3,169424,3,3,5711
333,2,30,2010,2.9,4,2,63026,2,5,8739
334,3,20,2001,4.8,2,3,145630,2,1,8287
335,1,23,2003,3.7,1,1,44024,4,4,9319
336,1,23,2022,1.2,2,2,122902,2,3,11441
337,1,3,2012,4.0,2,3,92692,3,2,11846
338,3,13,2020,2.9,4,1,22360,2,5,14052
339,8,11,2018,3.4,1,2,53596,5,1,11828
340,5,5,2000,3.6,2,3,45737,5,1,8785
341,7,27,2020,3.0,3,1,98160,2,5,13636
342,3,19,2018,4.0,4,2,253702,3,4,8425
343,4,14,2006,1.5,3,3,94715,5,2,6505
344,10,22,2005,1.4,1,3,1841,2,2,6963
345,7,21,2021,1.6,1,3,109050,2,5,9819
346,2,2,2008,4.4,3,3,236894,2,1,7162
347,9,10,2016,4.4,2,1,256691,4,1,11666
348,4,14,2006,1.6,3,3,235768,5,2,3784
349,8,6,2003,4.4,3,2,88089,3,3,8638
350,5,7,2007,3.8,2,1,160230,4,2,10295
351,8,11,2000,1.1,1,2,233776,2,3,2000
352,3,13,2015,1.3,3,3,117006,3,5,8559
353,4,15,2005,4.7,1,3,295379,2,2,4392
354,3,19,2019,2.5,3,2,299406,3,1,7311
355,4,14,2011,1.4,4,3,182197,4,3,5156
356,10,28,2015,1.4,2,3,235687,2,2,7286
357,10,22,2005,1.6,2,1,293339,5,1,4833
358,1,3,2008,3.5,1,2,79861,4,1,8402
359,8,6,2020,1.9,4,3,288000,4,5,6240
360,7,25,2022,1.6,1,1,295898,3,1,7882
361,9,24,2005,2.5,3,3,239287,4,1,4314
362,5,7,2016,4.4,4,1,7588,4,5,14648
363,10,28,2002,3.4,1,1,152117,3,2,6557
364,7,27,2019,4.4,4,2,195296,5,4,10294
365,3,19,2006,4.4,1,1,191716,2,3,7965
366,5,7,2000,3.6,4,2,230409,2,3,3091
367,5,9,2014,1.1,1,1,106397,4,2,8772
368,10,22,2007,3.7,2,2,295514,2,4,5989
369,7,27,2001,3.1,3,1,232603,4,4,5347
370,8,11,2000,2.5,1,2,18150,3,5,6237
371,10,22,2000,1.8,4,1,222084,2,3,2958
372,9,10,2016,3.7,4,2,59160,5,2,11416
373,3,13,2016,2.3,4,3,73775,3,4,9724
374,8,11,2007,2.4,2,1,89733,3,1,10305
375,6,29,2002,2.6,4,3,11401,5,4,7071
376,3,19,2019,4.4,1,3,233465,2,1,9530
377,10,18,2016,4.3,4,3,240885,3,2,8382
378,8,17,2006,3.5,2,3,25049,4,5,10899
379,3,13,2003,2.0,3,3,110430,3,1,5791
380,6,12,2018,3.7,2,3,205909,3,2,11081
381,4,14,2011,1.4,3,3,161912,4,4,6561
382,8,6,2002,3.6,3,1,54815,3,5,9703
383,6,12,2019,3.3,2,2,128619,3,5,12527
384,5,9,2019,4.0,3,2,121403,5,2,12371
385,9,10,2019,4.2,2,3,253093,5,4,10938
386,3,20,2022,4.8,4,3,97890,2,2,13542
387,9,8,2016,1.2,1,2,157466,4,1,6950
388,7,25,2004,3.6,4,3,168226,4,4,5535
389,1,3,2009,1.2,4,1,275586,3,5,3988
390,4,16,2015,1.9,2,2,50573,4,5,11488
391,10,28,2006,2.6,2,2,219205,5,5,6115
392,6,12,2008,2.7,2,1,1708,5,2,12665
393,7,25,2012,3.6,4,1,244437,2,2,7911
394,7,27,2016,2.1,2,2,134097,4,5,10318
395,4,15,2010,1.1,3,2,98700,5,3,7226
396,8,11,2018,1.6,3,2,78445,4,4,10531
397,3,13,2001,3.6,3,3,93140,2,1,7137
398,6,12,2006,3.0,1,1,288209,3,2,4635
399,6,26,2009,4.4,3,3,282931,5,3,6541
400,10,22,2023,3.0,3,1,242006,5,1,11659
401,7,21,2006,4.6,3,2,272450,4,3,6051
402,7,27,2002,4.4,4,1,54982,5,5,9500
403,3,20,2003,1.2,1,3,53980,4,3,5120
404,4,14,2019,1.6,3,3,84291,4,4,10714
405,6,26,2002,3.1,3,3,264010,5,1,3519
406,1,3,2020,1.7,3,3,54068,4,1,11718
407,6,29,2002,4.4,4,2,253283,4,1,4034
408,2,2,2010,1.1,4,1,1666,4,3,9666
409,5,5,2000,2.8,2,1,128713,4,2,7825
410,9,8,2004,2.9,1,1,155101,3,5,6597
411,10,22,2002,3.1,1,1,153222,5,2,6235
412,2,1,2004,3.0,2,3,140269,4,1,7494
413,9,10,2022,4.6,1,1,48034,3,1,15839
414,5,5,2007,1.7,2,1,197700,2,4,7446
415,4,16,2020,1.3,3,2,130961,2,4,9780
416,10,28,2009,1.5,2,3,204370,4,4,6212
417,4,14,2005,1.9,1,3,103956,5,2,5420
418,3,13,2004,3.0,2,2,86109,3,5,8577
419,7,27,2011,1.7,3,2,264104,4,2,4817
420,5,5,2019,2.1,4,1,1068,2,1,13378
421,6,12,2004,3.1,2,1,202084,2,1,7858
422,2,1,2012,4.5,4,3,78159,3,1,10636
423,7,21,2012,2.7,2,1,188249,3,4,10135
424,1,4,2021,3.6,1,3,252284,5,4,8954
425,8,6,2011,4.8,1,2,120010,4,5,9799
426,8,17,2007,4.8,4,3,77167,4,4,9456
427,1,23,2021,3.0,1,3,226346,5,4,8873
428,9,8,2014,4.1,1,1,35164,3,3,13196
429,4,14,2015,4.3,2,2,147409,3,1,11951
430,4,15,2016,3.6,1,2,292131,4,4,6657
431,7,25,2016,1.6,2,1,285860,4,5,8282
432,1,3,2005,2.3,2,2,112828,3,2,7643
433,1,23,2023,3.5,3,3,225090,2,2,10998
434,10,18,2003,2.5,2,2,235804,3,1,4783
435,7,25,2007,4.7,2,2,18622,4,3,12527
436,5,9,2001,1.8,2,3,38814,4,5,7423
437,10,18,2001,2.3,1,2,64027,3,2,5419
438,7,25,2013,2.7,3,2,155927,5,4,8581
439,5,7,2000,3.5,3,3,181019,2,2,4979
440,4,16,2014,3.8,1,3,91618,4,4,10267
441,3,13,2004,2.6,3,3,234638,5,3,4207
442,4,16,2006,4.4,3,1,213796,4,4,8524
443,6,12,2008,4.5,2,3,242378,4,3,8152
444,7,21,2015,3.4,2,2,68256,4,2,12634
445,5,7,2012,4.9,2,2,4608,3,2,14507
446,4,15,2014,4.7,2,1,262198,4,2,11256
447,6,12,2014,3.7,4,3,203553,3,5,7928
448,1,4,2007,1.4,4,2,252417,3,3,2551
449,4,16,2010,3.9,3,1,42902,3,5,12641
450,1,4,2020,4.8,2,2,116761,2,3,14564
451,8,6,2015,2.7,1,2,181326,5,5,7673
452,4,14,2008,4.1,2,2,286699,3,5,6866
453,9,24,2013,3.8,3,1,149662,2,1,11306
454,10,28,2019,4.7,4,3,213300,4,1,10234
455,9,24,2015,2.0,1,2,125458,2,3,8090
456,6,26,2011,2.5,4,2,61333,2,1,8673
457,2,30,2009,3.8,2,1,103338,3,3,12033
458,6,12,2019,1.9,2,1,44978,4,4,14300
459,5,5,2002,2.5,2,1,119657,2,2,8306
460,4,14,2003,2.2,2,2,106537,4,4,7069
461,5,5,2005,2.8,2,2,228351,2,2,5832
462,10,18,2000,1.0,3,3,156258,4,1,2974
463,8,6,2022,3.6,1,2,233628,5,2,9627
464,5,5,2000,2.9,3,3,238272,5,1,3234
465,3,20,2023,2.0,1,2,280794,2,3,7384
466,7,25,2005,2.6,1,3,14058,5,4,7918
467,1,3,2018,3.3,3,3,274434,3,2,8311
468,3,13,2015,3.2,1,1,60419,4,4,12091
469,2,30,2021,5.0,4,3,98604,2,4,13427
470,10,18,2023,1.6,4,1,133425,5,5,11431
471,6,29,2004,4.2,3,2,271816,3,5,5063
472,8,17,2019,2.9,4,3,247451,3,3,7750
473,4,15,2014,4.7,4,3,85892,5,2,11282
474,4,14,2006,3.1,2,3,252610,2,3,5947
475,1,4,2020,1.3,3,2,282883,4,1,6742
476,2,2,2020,2.7,3,3,109271,3,4,11614
477,8,17,2018,2.0,3,1,119566,5,5,11608
478,4,16,2009,3.0,1,2,54105,3,2,8717
479,5,7,2020,2.4,3,2,103185,2,3,11436
480,3,19,2010,1.8,3,2,227999,5,1,5340
481,2,30,2000,1.1,3,1,141537,3,2,4869
482,6,12,2022,2.8,1,1,250524,5,5,9989
483,2,2,2012,1.7,4,1,163543,5,4,7629
484,1,4,2021,2.7,4,2,283597,2,2,7428
485,7,25,2021,3.6,4,1,79401,4,3,13911
486,4,15,2007,3.4,2,2,125769,3,1,9084
487,6,26,2009,4.1,1,2,67077,2,5,9558
488,6,26,2007,2.3,2,2,76257,2,3,8974
489,4,16,2010,1.2,2,1,220484,4,4,7390
490,9,8,2010,4.7,4,3,155338,5,1,8693
491,10,28,2006,3.1,2,1,135166,5,1,9796
492,4,15,2009,2.4,4,1,22624,4,4,10247
493,1,3,2002,3.2,3,1,106780,2,5,8264
494,8,6,2017,2.3,2,3,40455,4,1,12690
495,4,14,2007,1.1,1,3,261935,4,2,2061
496,5,7,2015,2.2,2,2,164031,4,5,9519
497,8,17,2018,4.8,3,1,108824,3,4,14623
498,5,7,2001,4.3,4,3,67506,3,4,7349
499,8,6,2013,1.5,3,1,198747,5,4,8025
500,5,7,2004,1.3,2,1,189304,5,1,6313
501,1,3,2019,3.1,1,3,171550,3,5,9469
502,3,20,2011,4.8,2,1,49802,2,4,14703
503,7,25,2006,4.9,2,2,32528,4,3,12149
504,7,25,2002,3.3,1,1,252871,3,2,4442
505,6,29,2010,3.6,1,3,37887,5,5,9942
506,7,21,2003,1.5,2,1,243023,2,3,5139
507,4,15,2011,5.0,4,1,125014,4,5,11399
508,2,30,2007,2.0,2,1,225309,2,5,7193
509,10,18,2012,1.5,2,3,19946,5,4,10801
510,9,24,2016,1.5,2,3,34256,4,3,11714
511,2,30,2007,2.1,2,2,48326,5,4,9333
512,3,19,2018,3.9,3,1,22059,4,3,15458
513,2,2,2016,3.1,4,1,82589,2,3,11848
